N,eta2,epsilon2,omega2
20,0.077803942,0.08087515,0.080398528
30,0.064963596,0.066643689,0.066380488
40,0.055117764,0.056177721,0.056010181
50,0.050450979,0.051223188,0.051105394
60,0.045839882,0.046422592,0.046331631
70,0.043134906,0.043603763,0.043531467
80,0.039043046,0.039413708,0.039355422
90,0.035750988,0.036052261,0.036005083
100,0.033920369,0.034177342,0.034137318
10,0.111514052,0.120806889,0.119347534
20,0.080159687,0.083323885,0.082841939
30,0.066306526,0.06802135,0.067755006
40,0.056459187,0.057544941,0.057379399
50,0.049348816,0.050104155,0.049985142
60,0.045675167,0.046255784,0.046164258
70,0.042425407,0.042886553,0.042813232
80,0.039158934,0.039530697,0.039472283
90,0.037511934,0.037828046,0.037779249
100,0.035889437,0.036161327,0.036118853
10,0.107802193,0.116785709,0.115440116
20,0.079522564,0.082661613,0.082174866
30,0.065114042,0.066798026,0.066538602
40,0.056279434,0.057361731,0.05719515
50,0.049036996,0.049787562,0.049673083
60,0.045741908,0.046323373,0.046233362
70,0.041402067,0.04185209,0.04178271
80,0.038760928,0.039128912,0.039070845
90,0.038155549,0.038477084,0.038426491
100,0.035014801,0.035280065,0.035238374
10,0.110305785,0.119497934,0.118084145
20,0.078142588,0.081227164,0.08075758
30,0.064022714,0.065678474,0.065427121
40,0.056048937,0.057126801,0.056960941
50,0.050381049,0.051152188,0.051031537
60,0.047403332,0.048005916,0.047913953
70,0.040333687,0.040772097,0.040703377
80,0.040091965,0.040472585,0.040412784
90,0.037274897,0.037589012,0.03754012
100,0.035112192,0.035378193,0.035336532
10,0.111378772,0.120660336,0.119274817
20,0.076950004,0.079987504,0.079517881
30,0.066443676,0.068162047,0.067896727
40,0.055527481,0.056595317,0.056429456
50,0.050146004,0.050913545,0.050793203
60,0.04604924,0.046634612,0.046542667
70,0.042205571,0.042664327,0.042593578
80,0.039308315,0.039681495,0.039622473
90,0.037228382,0.037542105,0.037493121
100,0.033810501,0.034066641,0.034026909
10,0.109748391,0.118894091,0.117477176
20,0.077304178,0.080355659,0.079884426
30,0.065728598,0.067428476,0.067167124
40,0.054263946,0.055307484,0.055148622
50,0.048879477,0.049627633,0.049510797
60,0.044911937,0.045482851,0.045394216
70,0.041543956,0.041995521,0.041925484
80,0.039548267,0.039923725,0.039865523
90,0.03687069,0.037181398,0.037132562
100,0.035526995,0.035796139,0.035754412
10,0.107205299,0.116139074,0.114795081
20,0.075805851,0.078798187,0.078338189
30,0.064452611,0.066119489,0.065859685
40,0.055471226,0.056537981,0.056375852
50,0.050488397,0.051261179,0.051142819
60,0.043536159,0.044089584,0.04400363
70,0.040902805,0.0413474,0.04127939
80,0.040396228,0.040779736,0.040720092
90,0.03585589,0.036158047,0.036110074
100,0.034843324,0.035107288,0.035066024
10,0.109735158,0.118879754,0.11751257
20,0.078601264,0.081703946,0.081235254
30,0.064385996,0.066051151,0.065801163
40,0.055702347,0.056773546,0.056609751
50,0.049071601,0.049822697,0.049706055
60,0.04586245,0.046445447,0.046354547
70,0.040756048,0.041199049,0.041130695
80,0.040467034,0.040851215,0.040791249
90,0.03531345,0.035611035,0.035564279
